Genre,Sum of Worldwide Gross,Average of Profitability,Average of Audience  score %,Average of Rotten Tomatoes %
Action,93.4,1.25,45.00,11.00
Animation,1070.330432,3.22,76.33,80.33
Comedy,5193.594646,3.95,62.11,45.13
Drama,1287.147873,8.41,67.23,51.54
Fantasy,285.431,1.78,81.00,73.00
Romance,1912.801439,4.58,66.08,45.69
